sport,role,gender,age,weight_kg,height_cm,training_intensity,session_duration_min,training_days_per_week,is_match_day,is_recovery_day,fatigue_score,goal,diet_type,sport_enc,gender_enc,goal_enc,diet_enc,calories_kcal,protein_g,carbs_g,fat_g,needs_iron,needs_calcium,needs_vitd
Badminton,Singles player,male,21,66.6,176,9,82,4,1,0,5,maintain,veg,5,0,0,0,3315,130.7,372.5,144.7,0,0,1
Badminton,Singles player,male,24,62.2,168,4,62,1,0,0,6,cut,veg,5,0,2,0,2350,96.8,387.5,45.9,0,0,1
Athletics,Sprinter,male,17,46.6,167,7,166,5,1,0,2,maintain,non-veg,3,0,0,1,3060,84.0,544.9,60.5,0,1,0
Cricket,All-rounder,male,21,62.0,169,4,145,4,1,0,2,bulk,non-veg,0,0,1,1,3051,133.3,374.2,113.4,0,0,0
Football,Goalkeeper,male,14,78.9,191,8,96,6,0,1,2,cut,veg,1,0,2,0,3759,141.2,653.3,64.6,0,1,0
Football,Goalkeeper,male,14,54.5,165,3,94,5,0,0,6,maintain,non-veg,1,0,0,1,2341,90.0,385.6,48.7,0,1,0
Kabaddi,Raider,male,14,79.0,170,5,125,3,0,0,2,maintain,non-veg,2,0,0,1,3764,173.7,624.3,63.6,0,1,0
Wrestling,Greco-Roman wrestler,female,19,73.0,163,10,62,4,1,0,4,bulk,non-veg,4,1,1,1,3685,146.5,610.6,73.0,1,1,1
Athletics,Sprinter,male,20,48.1,170,6,134,4,0,1,3,cut,non-veg,3,0,2,1,2535,103.8,433.0,43.1,0,0,0
Kabaddi,All-rounder,male,17,77.2,174,4,105,5,0,0,6,maintain,non-veg,2,0,0,1,3063,143.5,484.4,61.3,0,1,0
Kabaddi,Raider,female,18,45.0,163,6,90,4,0,0,4,cut,non-veg,2,1,2,1,1982,106.2,306.4,36.9,1,1,0
Athletics,Jumper,male,16,86.9,173,6,87,2,0,1,4,maintain,non-veg,3,0,0,1,3859,170.8,644.3,66.5,0,1,0
Badminton,Singles player,male,19,71.0,171,3,124,5,0,0,7,maintain,non-veg,5,0,0,1,2930,124.5,485.6,54.4,0,1,1
Football,Goalkeeper,male,14,58.1,168,6,74,3,0,0,5,cut,non-veg,1,0,2,1,2595,121.1,416.0,49.6,0,1,0
Wrestling,Freestyle wrestler,male,16,64.8,177,3,96,6,0,0,5,cut,non-veg,4,0,2,1,2606,134.2,413.0,46.3,0,1,1
Football,Striker,female,23,63.2,163,6,100,4,1,0,5,maintain,veg,1,1,0,0,3364,142.5,570.8,56.8,1,0,0
Wrestling,Greco-Roman wrestler,male,20,55.8,179,8,112,3,0,0,6,maintain,non-veg,4,0,0,1,2768,138.3,398.6,68.9,0,0,1
Badminton,Doubles player,male,25,59.3,173,3,66,6,0,0,4,maintain,non-veg,5,0,0,1,2501,100.9,411.7,50.1,0,0,1
Wrestling,Greco-Roman wrestler,female,14,57.7,154,7,91,4,1,0,4,maintain,non-veg,4,1,0,1,3195,115.1,558.4,55.7,1,1,1
Kabaddi,Raider,female,22,62.7,160,4,44,4,1,0,6,maintain,non-veg,2,1,0,1,3616,144.1,640.3,53.1,1,0,0
Cricket,Fast bowler,male,22,85.6,173,4,121,5,0,0,3,maintain,non-veg,0,0,0,1,3418,146.0,566.6,63.1,0,0,0
Wrestling,Freestyle wrestler,male,25,71.0,173,6,116,6,0,0,5,bulk,non-veg,4,0,1,1,3497,173.0,548.5,67.9,0,0,1
Kabaddi,All-rounder,female,15,45.0,162,4,88,4,0,0,4,maintain,non-veg,2,1,0,1,2139,77.3,362.5,42.2,1,1,0
Badminton,Doubles player,female,20,49.1,158,9,93,5,1,0,2,maintain,veg,5,1,0,0,2463,82.2,387.5,64.9,1,0,1
Football,Goalkeeper,male,28,74.3,157,6,70,6,0,1,6,bulk,non-veg,1,0,1,1,2822,140.1,410.7,68.8,0,0,0
Wrestling,Freestyle wrestler,male,23,63.3,167,9,102,3,0,0,6,maintain,non-veg,4,0,0,1,2912,142.0,445.0,62.7,0,0,1
Badminton,Singles player,male,14,63.2,180,4,103,5,0,1,1,bulk,non-veg,5,0,1,1,2823,99.2,376.8,102.1,0,1,1
Wrestling,Freestyle wrestler,male,15,84.3,161,5,93,6,0,0,2,maintain,veg,4,0,0,0,3346,196.2,498.0,63.3,0,1,1
Kabaddi,Defender,male,20,62.0,172,5,93,5,0,0,9,maintain,non-veg,2,0,0,1,2824,146.3,431.8,56.9,0,0,0
Cricket,Fast bowler,female,14,60.8,156,5,75,4,1,0,6,cut,non-veg,0,1,2,1,2779,133.0,457.0,46.6,1,1,0
Wrestling,Freestyle wrestler,male,21,73.8,167,7,106,4,0,0,1,maintain,non-veg,4,0,0,1,3162,178.7,468.8,63.5,0,0,1
Kabaddi,All-rounder,female,15,73.5,157,5,97,5,0,0,6,maintain,veg,2,1,0,0,3155,157.9,512.5,52.6,1,1,0
Wrestling,Freestyle wrestler,male,18,61.9,185,8,36,4,0,0,6,maintain,non-veg,4,0,0,1,2958,150.5,354.6,104.2,0,1,1
Kabaddi,Defender,female,22,51.0,160,1,143,4,1,0,6,maintain,veg,2,1,0,0,2717,101.0,480.8,43.3,1,0,0
Cricket,Batsman,male,16,70.4,173,4,75,5,1,0,7,bulk,non-veg,0,0,1,1,3784,152.8,629.7,72.7,0,1,0
Cricket,Fast bowler,male,18,61.4,181,1,137,4,0,1,4,maintain,veg,0,0,0,0,2058,97.2,267.2,66.7,0,1,0
Cricket,Batsman,male,25,75.7,175,6,46,3,0,0,5,maintain,non-veg,0,0,0,1,2855,151.1,389.7,76.9,0,0,0
Football,Winger,male,23,72.7,172,10,102,4,0,0,8,cut,non-veg,1,0,2,1,2954,149.1,446.1,63.7,0,0,0
Athletics,Long-distance runner,female,19,67.8,152,7,85,3,0,0,1,cut,veg,3,1,2,0,3333,141.6,592.5,44.1,1,1,0
Cricket,Wicket-keeper,male,21,75.4,182,7,86,4,0,0,4,maintain,non-veg,0,0,0,1,3045,118.8,466.6,78.2,0,0,0
Cricket,Fast bowler,male,21,67.1,173,6,30,3,0,1,5,bulk,non-veg,0,0,1,1,3051,147.6,469.0,65.0,0,0,0
Cricket,Spin bowler,male,21,83.2,174,5,42,3,0,0,6,bulk,veg,0,0,1,0,3211,139.7,434.9,101.4,0,0,0
Football,Defender,male,20,88.5,172,9,95,6,0,0,2,cut,veg,1,0,2,0,4101,143.4,731.5,66.8,0,0,0
Wrestling,Freestyle wrestler,male,18,82.9,178,5,79,2,0,0,7,cut,non-veg,4,0,2,1,3463,172.3,562.5,58.2,1,1,1
Cricket,Spin bowler,male,18,81.3,178,6,89,5,0,0,4,maintain,veg,0,0,0,0,3187,135.3,509.5,67.5,0,1,0
Athletics,Sprinter,male,21,66.8,171,3,104,5,0,0,4,maintain,non-veg,3,0,0,1,2738,113.8,452.2,52.7,0,0,0
Athletics,Jumper,male,16,62.4,161,5,91,2,0,1,6,cut,non-veg,3,0,2,1,3151,102.9,583.0,45.3,0,1,0
Wrestling,Greco-Roman wrestler,male,24,76.5,167,4,107,4,0,0,2,maintain,non-veg,4,0,0,1,3203,160.3,509.2,58.3,0,0,1
Wrestling,Freestyle wrestler,female,23,48.1,161,7,60,5,0,0,3,maintain,non-veg,4,1,0,1,2059,101.1,267.0,65.2,1,1,1
Wrestling,Freestyle wrestler,male,16,57.4,167,4,79,5,0,0,6,bulk,non-veg,4,0,1,1,2692,126.2,328.2,97.1,0,1,1
Cricket,All-rounder,male,29,78.1,168,9,78,4,0,0,1,cut,non-veg,0,0,2,1,3102,155.7,485.1,59.9,0,0,0
Wrestling,Freestyle wrestler,male,23,64.4,170,5,71,4,0,0,4,maintain,veg,4,0,0,0,2628,162.1,367.1,56.8,0,0,1
Badminton,Doubles player,female,14,64.8,163,5,97,5,0,0,6,maintain,non-veg,5,1,0,1,2701,111.6,449.0,51.0,1,1,1
Football,Defender,male,20,77.3,166,4,59,5,0,1,1,bulk,veg,1,0,1,0,3057,156.7,464.7,63.5,0,0,0
Kabaddi,Raider,male,15,70.7,191,2,85,4,1,0,7,bulk,non-veg,2,0,1,1,3806,146.1,641.0,73.1,0,1,0
Cricket,Fast bowler,male,17,73.3,182,1,66,5,0,0,4,bulk,veg,0,0,1,0,2885,116.3,473.6,58.4,0,1,0
Kabaddi,Raider,female,20,56.4,169,6,100,4,0,0,5,maintain,veg,2,1,0,0,2585,122.1,412.2,49.8,1,0,0
Wrestling,Greco-Roman wrestler,male,18,76.7,169,8,77,2,0,0,2,cut,non-veg,4,0,2,1,3347,183.9,518.2,59.8,0,1,1
Cricket,All-rounder,male,21,65.8,177,1,97,5,1,0,5,bulk,non-veg,0,0,1,1,2864,120.7,365.7,102.0,0,0,0
Football,Defender,male,22,73.1,180,7,92,4,0,0,5,maintain,non-veg,1,0,0,1,2999,155.0,446.0,66.1,0,0,0
Kabaddi,Defender,male,26,72.0,169,7,128,4,1,0,6,bulk,veg,2,0,1,0,3942,174.6,639.7,76.1,0,0,0
Badminton,Doubles player,male,16,72.1,185,4,52,2,0,0,7,maintain,non-veg,5,0,0,1,3018,112.6,502.2,62.1,0,1,1
Cricket,Fast bowler,male,29,69.3,172,7,104,5,0,0,8,cut,veg,0,0,2,0,2776,124.5,448.6,53.7,0,0,0
Kabaddi,Raider,male,25,58.1,171,6,122,2,1,0,8,maintain,non-veg,2,0,0,1,3294,123.6,558.5,62.8,0,0,0
Wrestling,Greco-Roman wrestler,male,23,45.0,170,7,128,4,0,0,2,maintain,non-veg,4,0,0,1,2384,87.3,303.6,91.2,0,0,1
Badminton,Singles player,male,19,76.0,170,8,34,3,0,1,6,cut,non-veg,5,0,2,1,2582,126.6,357.8,71.6,0,1,1
Football,Goalkeeper,male,20,69.6,167,6,66,5,0,0,10,maintain,non-veg,1,0,0,1,3319,114.6,579.5,60.3,0,0,0
Cricket,Batsman,male,15,81.9,153,1,52,3,1,0,5,maintain,veg,0,0,0,0,4098,173.9,719.4,58.3,0,1,0
Wrestling,Greco-Roman wrestler,female,14,50.2,153,9,118,6,1,0,3,bulk,non-veg,4,1,1,1,2781,129.0,280.6,127.0,1,1,1
Football,Midfielder,female,17,59.0,160,7,58,4,0,0,4,cut,non-veg,1,1,2,1,2869,119.6,500.9,43.0,1,1,0
Cricket,Spin bowler,female,26,47.9,156,4,39,7,0,0,2,maintain,non-veg,0,1,0,1,1869,80.9,296.1,40.1,1,0,0
Badminton,Singles player,male,16,75.6,162,8,30,2,0,0,3,bulk,veg,5,0,1,0,3442,117.6,579.9,72.5,0,1,1
Cricket,Wicket-keeper,male,23,67.7,169,8,154,5,0,1,2,cut,non-veg,0,0,2,1,2391,110.8,274.5,94.4,0,0,0
Kabaddi,Raider,male,20,51.7,175,10,111,4,1,0,6,bulk,non-veg,2,0,1,1,3330,102.1,519.6,93.7,0,0,0
Kabaddi,Raider,female,21,67.8,172,8,34,3,0,1,6,maintain,non-veg,2,1,0,1,2884,119.2,476.7,55.6,1,0,0
Athletics,Hurdler,male,17,61.9,162,4,49,3,0,0,7,maintain,non-veg,3,0,0,1,3389,123.7,603.4,53.4,1,1,0
Kabaddi,Raider,male,16,75.0,167,6,166,4,0,0,4,cut,veg,2,0,2,0,3277,163.6,531.5,55.2,0,1,0
Wrestling,Greco-Roman wrestler,male,27,75.1,168,7,119,5,0,1,1,bulk,non-veg,4,0,1,1,3041,190.3,367.4,90.0,0,0,1
Wrestling,Freestyle wrestler,male,19,74.2,173,3,101,5,0,0,6,bulk,veg,4,0,1,0,3152,148.4,498.9,62.5,0,1,1
Badminton,Doubles player,male,21,72.3,173,6,51,3,0,0,7,cut,non-veg,5,0,2,1,2969,135.8,483.4,54.7,0,0,1
Badminton,Singles player,male,20,68.3,178,4,92,4,0,1,5,maintain,non-veg,5,0,0,1,2869,111.7,478.7,56.4,0,0,1
Kabaddi,All-rounder,male,18,66.1,168,8,95,6,0,0,2,cut,non-veg,2,0,2,1,2582,120.1,400.6,55.5,0,1,0
Kabaddi,All-rounder,male,20,78.7,168,8,158,4,0,0,4,maintain,non-veg,2,0,0,1,3680,150.4,617.3,67.7,0,0,0
Kabaddi,All-rounder,male,25,63.8,170,3,62,3,1,0,3,maintain,non-veg,2,0,0,1,3681,119.9,666.4,59.5,0,0,0
Badminton,Singles player,male,14,55.9,164,7,85,4,0,0,9,maintain,non-veg,5,0,0,1,2651,87.6,446.0,57.4,0,1,1
Cricket,Batsman,male,17,79.7,183,2,92,4,1,0,3,maintain,non-veg,0,0,0,1,3310,165.7,510.1,67.4,0,1,0
Badminton,Doubles player,male,25,62.3,166,6,73,5,0,0,8,maintain,veg,5,0,0,0,2808,95.7,479.3,56.5,0,0,1
Athletics,Long-distance runner,male,27,61.9,169,6,100,5,1,0,9,maintain,non-veg,3,0,0,1,3112,125.6,509.8,63.4,1,0,0
Wrestling,Greco-Roman wrestler,male,23,58.5,166,5,110,3,1,0,4,cut,veg,4,0,2,0,2948,140.6,477.7,52.7,0,0,1
